firstName; secondName; dateOfBirth; inn; phoneNumber; bankAccount; balance
Айбек; Абдрахманов; 1992-06-17; 017061992123456; +996 555 341234; ACC782391; 53020.0
Жасмин; Токтогулова; 1995-11-22; 822111995654321; +996 550 992654; null; 66500.9
Бекзат; Сатыбалдиев; 1990-03-14; 213031990987654; +996 500 246753; ACC549126; 85700.0
Айша; Жолдошова; 1994-09-30; 530919941234567; +996 221 804512; ACC179326; 72500.5
Рамазан; Бектуров; 1993-04-12; 712041993345678; +996 999 741089; ACC626481; 39000.5
Нурсултан; Токтомушев; 1991-12-03; 603121991123456; +996 999 741258; null; 48700.5
Алия; Мамбетова; 1996-07-25; 725071996654789; +996 550 895623; ACC918273; 67020.3
Эрмек; Бекмуратов; 1990-01-18; 318011990789654; +996 500 742318; ACC736481; 90040.7
Тимур; Султанов; 1994-04-22; 422041994456789; null; ACC581027; 80320.4
Айзере; Исабекова; 1993-11-30; 930111993321654; +996 505 741236; ACC394857; 73950.9
Бекболот; Асаналиев; 1995-06-17; 617061995874521; +996 708 159753; ACC675128; 68200.0
Сайкал; Эргешова; 1997-03-09; 709031997654789; +996 703 258963; ACC758294; 54000.1
Талант; Абдыкадыров; 1991-10-12; 212101991147258; +996 222 963147; ACC481629; 92800.6
Айым; Омурзакова; 1992-05-28; 528051992369874; +996 223 874159; ACC612493; 58410.0
Данияр; Таштанов; 1990-02-07; 207021990753951; null; ACC349582; 70100.4
Айжан; Кубанычбекова; 1993-08-19; 819081993258963; +996 220 147896; ACC817293; 61530.7
Эламан; Мырзабеков; 1994-06-14; 614061994123789; +996 708 654123; ACC571842; 78800.2
Мээрим; Асанова; 1991-09-25; 925091991987654; +996 500 258741; ACC458291; 50200.5
Алтынбек; Сатылганов; 1995-01-02; 102011995654123; +996 221 753951; null; 84590.3
Айгерим; Темирбекова; 1996-12-17; 617121996357951; +996 550 951357; ACC593618; 63400.0
Жоомарт; Кудайбердиев; 1990-05-20; 520051990654789; +996 555 357159; ACC826149; 71250.8
Нуриза; Мамбетовa; 1993-02-11; 211021993789654; +996 500 951357; null; 56500.6
Байэл; Абдраимов; 1992-08-03; 803081992951357; +996 505 357951; ACC925763; 79020.5
Сезим; Джолдошева; 1994-10-27; 427101994753159; +996 703 753159; ACC617294; 50000.4
